COMMAND,OPERATOR,ALIAS(S),ARGUMENT(S),PARAMETERS,CATEGORY,DEFAULT,DESCRIPTION,MENU,GUI SHORTCUT,COMMENTS,USE,EXPLANATION,EXAMPLE 1,EXAMPLE 2,PRESET
:k,,,%,% = float = value (not zero),time,1,define a multiplier or divider for the delay time,timing → calculation → factor,no,This works in conjunction with the coefficient mode‚ :K.,Use this to set a unit other than seconds for the time atom.,,:k 3,:k 1,:x 5 :i 5 1.5 :d 1 :K 1 :s :v 0 :pr 2
:k,,,% %...,% = float = time (seconds),time,n/a,store a custom map for map calculation,timing → calculation → map list,no,This stores a custom list of cycle time values to be selected by the :d value when :K 4 is on. When :d is 0‚ the first value on the list will be selected. When :d is 2‚ the second value will be selected‚ etc. If the :d value is higher than the number of items on the list then the cycle time value rolls back to :d itself.,Use this if you want custom time mappings that cannot be calculated.,Load the :k list and turn :K 4 on and you will see that the cycle times correspond to the numbers in the list. Notice that when :d is 5 the cycle time is 5‚ since there are only 4 numbers on the list.,:K 4,:k 4 5 8 9,:v 0 :E 1 :x 5 :i 5 1.5 :d 5 :s :pr 2
:l,,,%,% = float = percentage,burst,0,randomize the quantity of burst toggles,burst → quantity → random,no,This setting works as a percentage. 0 means that the burst quantity (:h) is definitive and 100 means that it is totally random. Numbers in between describe varying degrees on uncertainty‚ so that the burst quantity will deviate from :h with :l likelihood‚ according to Gaussian distribution. 101 gives even distribution through an 'urn' generator‚ meaning that all available numbers will be used once before the urn is reset‚ like pulling numbers out of a bag. The urn can be reset manually using the 'bump l' command. Note that if :p is set to a non-integer‚ the random mean position will not reset each cycle‚ meaning that the random deviations will center around the same point.,Use this setting to add uncertainty in a context network.,,:l 100,:l 10,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 2 :s :v 0 :pr 2
:l,-open,-edit,,,burst,n/a,edit random distribution array,burst → quantity → edit random,no,This command opens the array which defines the probabilities for the :l setting. Normally you will see a Bell curve here (if :l is greater that 0 and less than 100)‚ but you can draw in a curve to define a new range of probabilities. Unfortunately‚ any changes you make here are unsavable.,Use this to define custom probabilities for the burst quantity.,Open the array and draw in your own curve. You will see the changes reflected in the number of burst toggles that fire.,:l -open,:l 20,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 2 :s :v 0 :pr 2 :l 30
:m,,advance,%,% = float = state (0‚ 1),burst,1,determine whether the burst set auto-advances after every cycle,burst → auto advance,no,This command turns off the auto-advance for burst selection. When it is on‚ a new set of burst toggles is calculated after every context cycles. When off‚ a new set on toggles is not calculated‚ unless a 'bump' command is received.,Use this to to hold the current burst selection.,While :m 0 is set‚ the toggle selection wont advance unless the context receives a 'bump' message. When :m 1 is set‚ toggle selection advances each burst cycle.,bump,:m,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 1 :m 0 :P 1 :s :v 0 :pr 2
:n,,tag name,%1 %2...,% = symbol = tag,ID,clear,define ID tags,ID → tags,no,Context receives all messages sent to 'tag' and sends messages sent to 'tag-'. So you could send a message to the context from the example using [send drum] and receive messages from it using [receive cymbal-]. Note that assigning and removing tags can cause audio glitches.,Use tags to define groups of contexts‚ ie. 'percussion' for all the 'drums' and 'cymbals'. One context can have any number of tags‚ and a tag can be shared between any number of contexts.,':n drum cymbal' assigns the tags 'drum' and 'cymbal'.,:n tag-1 tag-2,:n drums cymbal,:X 10 :v 0 :pr 2
:n,+,tag name,%1 %2...,% = symbol = tag,ID,n/a,add or remove ID tags,ID → tags,no,The + operator indicates that the given symbols should be added or subtracted to the tag list. If a new symbol matches an existing tag it will be subtracted‚ and if not added. Causes audio glitches.,Note that the + operator is not necessary when editing from within the menu‚ where typed symbols are automatically added or removed.,,:n + jam,:n + cheese,:X 10 :n jam bread :v 0 :pr 2
:n,=,tag name,%1 %2...,% = symbol = tag,ID,n/a,define ID tags,ID → tags,no,The = operator defines an exact list of tags‚ just as the :n command with no operator. Causes audio glitches.,Note that this operator is only needed inside the menu‚ where symbols are added or removed by default.,No example given (use the menu).,,,:v 0
:n,-clear,tag name,,,ID,n/a,clear ID tags,ID → clear tags,no,This causes audio glitches.,Use this to clear all tags.,,:n -clear,,:X 10 :n ' unwanted tags ' :v 0 :pr 2
:o,,which,% %...,% = float = toggle number,burst,1,define an exact burst set,burst → selection → define,select burst toggles while idle (not savable),This will force the given toggles despite other burst settings‚ and defines a new mid point for random and progression deviations.,Use this to force a given path in the context network‚ or put it as a creation argument to specify the first outcome.,Choose exactly which toggles will fire at the end of the next burst. Note that in this example‚ auto-advance is off (:m 0) to prevent the burst selection from updating.,:o 2,:o 1 3 5,:Y 6 :y 1 2 3 4 5 6 :i 5 1.5 :m 0 :h 1 :d 1 :s :v 0 :pr 2
:p,,,%,% = float = value,burst,0,define an arithmetic progression for the burst quantity,burst → quantity → progression,no,This determines an arithmetic progression on the number of burst toggles that are selected each cycle. Positive and negative numbers are accepted. Note that non-integer numbers have a special effect on the :l setting.,Use this to make a context network increase in activity.,Look at how many toggles are firing each cycle.,:p 1,:p 2,:Y 6 :y 1 2 3 4 5 6 :i 5 1.5 :h 1 :d 1 :s :v 0 :pr 2
:q,,,%,% = float = state (0‚ 1),time,1,set a minimum for random cycle times,timing → random options → minimum,no,This setting only has effect in conjunction with :E 1,By default‚ a random cycle time might return as zero. Use this setting if you want to raise the bar of the minimum value of random cycle timing.,Here‚ random timing is on (:E 1) and the maximum time is 4 (:d 4). The :q value is 0 by default‚ meaning that zeros are allowed in the random timing. When the cycle time turns zero‚ the context stops. This is because the context safety mechanism rejects any instant feedback (this can be turned off with :z 0). When :q is set to 1 or 2‚ this value becomes the new minimum for random cycle times.,:q 1,:q 2,:x 5 :i 5 1.5 :d 4 :E 1 :s :v 0 :pr 2
:r,,record,,no arguments = default record,recording,,record data into Context in real time,no,no,There are many different options for recording. The :r command by itself selects the default‚ which is recording from the inlets to the Pattern toggle-array. Information can also be recorded to the toggle-float array and the message database.,Use this for live input patterns for context‚ or to have context sample itself. See helpfiles/recording.pd for more details.,Press the :r button repeatedly in a rhythmic way. You will see the pattern appear along the x-axis as you create it.,,:r,:X 9 :d 4 :v 0
:r,-source,,%,% = inlet / self / symbol / c float,recording,inlet,set the source of a recording,no,no,The -source operator determines whether the recording should come from Context’s inlets or from some other source. ‘self’ indicates that the source should be the receive channels (ie [send c1]. ‘any-symbol’ sets up a custom receive channel‚ ie [send any-symbol]. ‘c 3’ indicates that the source should be another Context. Here‚ the source is taken from the other Context’s internal commands‚ allowing you to record its operation.,Use this if you are setting up dynamic record systems which record via send channels‚ from midi controllers‚ etc.,You won’t see much in this example‚ unless you create a new object [send $0-c1] or [send drums] and send messages to it during the recording.,:r -source drums,:r -source self,:X 9 :d 4 :v 0
:r,-trigger,,%,% = float = state (0‚ 1),recording,0,determine when the recording starts,no,no,The -trigger operator determines whether the recording starts immediately (0) or when the first input is received (1).,Use this to cue up a recording without starting it.,To understand the difference between the two‚ make a recording without the trigger by pressing ‘:r -trigger 0’ repeatedly‚ then make a recording with the trigger.,:r -trigger 0,:r -trigger 1,:X 9 :d 4 :v 0
:r,-first,,%,% = float = state (0‚ 1),recording,0,determine what should happen to the first toggle when the recording starts,no,no,When -first is 1‚ the first toggle will automatically be triggered during the recording. When -first is 0‚ the first toggle will be left alone.,Quite often‚ a recording is triggered by the same message which is then later recorded (ie. by an ‘:r’ message). The -first operator lets you decide how you want the recording to proceed when it receives the first ‘:r’ command.,To understand the difference between the two‚ make a recording without the -first option by pressing ‘:r -first 0’ repeatedly‚ then make a recording with the -first option.,:r -first 0,:r -first 1,:X 9 :d 4 :v 0
:r,-exclude,,% %,% = any list,recording,blank,set a list of messages to be excluded from a recording,no,no,Any incoming message can be recorded by Context (not just an ‘:r’ message). The -exclude operator gives you the option of excluding certain messages.,It might be useful to exclude messages such as ‘:s’ (start) or ‘:x’.,Start the recording with the ‘:r’ message. If you continue to press ‘:r’‚ the recording will respond‚ but if you press ‘not-me’ then it will not‚ since this message has been excluded.,not-me,:r -exclude not-me,:X 9 :d 4 :v 0
:r,-output,,%,% = float = state (0‚ 1),recording,0,allow recording messages to pass through Context,no,no,When a message is recorded‚ it is muted by default (-output 0)‚ but with -output 1 you can allow the incoming messages to pass through Context and be sent as outgoing messages as they are being recorded.,Use this if you want to record a pattern live into a Context and have it be heard.,Watch the console to see the difference between these two settings as you make a recording by pressing the :r button repeatedly.,:r -output 0,:r -output 1,:X 9 :d 4 :v 0 :pr 1
:r,-playback,,%,% = float = state (0‚ 1),recording,0,play pattern messages as usual during the recording,no,no,By default (-playback 0)‚ the playback of usual Context pattern messages is muted during recording‚ but you can allow it to occur as it usually would using the ‘-playback 1’ operator.,Use this if you want to record one pattern on top of another.,Watch the console to see the difference between these two settings as you make a recording by pressing the :r button repeatedly.,:r -playback 0,:r -playback 1,:X 9 :d 4 :v 0 :pr 1
:r,-messages,,%,% = float = state (0‚ 1),recording,0,record data into the pattern message database,no,no,By default (-message 0)‚ a recording doesn’t affect the message database. With -message 1‚ the message database will be updated with whatever message is received during the recording. Note that any incoming ‘:r’ message is interpreted by the message database as a bang.,Use this to record a melody‚ or to record a series of Context commands.,Use the ‘:r -messages 1’ box to start the recording. Press the other button repeatedly during the recording and watch the message database.,:r -messages,any old message,:X 9 :d 4 :v 0 :a -edit
:r,-prepend,,% %,% = any list,recording,blank,prepend custom text to the database recording,no,no,You can use this to alter the incoming message by prepending any text to it as it is recorded.,This will only work if the ‘-messages 1’ operator is also used.,Use the ‘:r -messages 1 -prepend cats’ box to start the recording. Press the other button repeatedly during the recording and watch the message database.,:r -messages 1 -prepend cats,dogs,:X 9 :d 4 :v 0 :a -edit
:r,-append,,% %,% = any list,recording,blank,append custom text to the database recording,no,no,You can use this to alter the incoming message by appending any text to it as it is recorded.,This will only work if the ‘-messages 1’ operator is also used.,Use the ‘:r -messages 1 -append cats’ box to start the recording. Press the other button repeatedly during the recording and watch the message database.,:r -messages 1 -append cats,dogs,:X 9 :d 4 :v 0 :a -edit
:r,-pattern,,%,% = float = state (0‚ 1),recording,1,allow recording to alter pattern toggles,no,no,By default (-pattern 1)‚ a recording will flip toggles. This operator allows you to prevent a recording from affecting the toggles at all (-pattern 0).,Use this in conjunction with ‘-messages 1’ if you want to record messages but not affect the toggles.,Use the ‘:r -pattern 0 -messages 1’ box to start the recording and the other box to send messages during the recording. Notice that the messages change but the toggles don’t.,:r -pattern 0 -messages 1,some message,:X 9 :d 4 :v 0 :a -edit
:r,-toggleprep,,%,% = symbol = + or -,recording,blank,force toggles on or off during recording,no,no,By default‚ a message received during recording will turn a toggle on or off‚ depending on its current state. This operator lets you change that behaviour‚ so that a recording can only turn toggles on (+) or off (-).,Use this if you want to add to or subtract from a current recording without making any other changes.,Record using the ‘:r -toggleprep 1’ button by pressing it repeatedly. Then use the ‘:r -toggleprep 0’ button to clear the toggles just recorded. Notice that ‘-toggleprepe 1’ can only turn toggles on while ‘toggleprep 0’ can only turn them off.,:r -toggleprep 1,:r -toggleprep 0,:X 9 :d 4 :v 0
:r,-lock,,%,% = float = state (0‚ 1),recording,1,ensure a toggle can only be changed once during a recording,no,no,By default (-lock 1)‚ a recording can only change each toggle once during the recording cycle. Turning this feature off (-lock 0) you can affect a single toggle any number of times so long as the cursor is hanging over it.,Use this if you want to be able to cancel out mistakenly recorded messages.,Make a recording with the ‘:r -lock 0’ button by clicking on it repeatedly very fast. You will see that each toggle can turn on or off. Then make a recording with the ‘lock 1’ box. Now each toggle can only turn on or off once.,:r -lock 1,:r -lock 0,:X 9 :d 4 :v 0
:r,-floats,,%,%= state (0‚ 1‚ c #‚ symbol),recording,0,determine whether toggle-floats are affected during a recording,no,no,By default (-floats 0)‚ recorded messages have no affect on the toggle-floats. With ‘-floats c 5’‚ the toggle float will be set to 5 each time a recording message is sent. With ‘-floats 1’‚ floats will be recorded dynamically. The first float occurring in the incoming message will be recorded. With any symbol set as an argument (ie. ‘:r -floats me’)‚ the recording will search for the symbol ‘me’ in all incoming messages and then find the next float.,Use this if you want to record a melody into the toggle-floats.,Start the recording with ‘:r -floats 1’ and then set the toggle-float array using the other message.,:r -floats 1,message 3,:X 9 :d 4 :v 0
:r,-floatprep,,%,% = float = state (0‚ 1),recording,1,interpret toggle-floats as float-connects,no,no,By default (-floatprep 0)‚ incoming numbers are recorded as normal toggle-floats. You can record them as float-connects using ‘-floatprep 1’,Use this if you want to set float-connections with a recording.,Start the recording using the ‘:r -floatprep 1 -floats 1’ message and record messages using the other box. Compare the toggle-float array to the example given in ‘:r -floats’,:r -floatprep 1 -floats 1,message 2,:X 9 :d 4 :v 0
:r,-delay,,%,% = float = milliseconds,recording,0,set a delay between the position of the cursor and the record position,no,no,By default (-delay 0)‚ the “recording head” moves in line with the cursor during a recording. You can introduce an offset using a -delay message. Positive numbers move the recording position behind‚ while negative numbers move it ahead.,You can use this to compensate for buffer time if you are recording in using a MIDI instrument.,Try recording with the two -delay messages by pressing them repeatedly to compare the difference between positive and negative numbers. Note that it wouldn’t normally make sense to set such a large delay‚ but it makes the example more clear.,:r -delay 1000,:r -delay 1000,:X 9 :d 4 :v 0
:r,-interrupt,,% %,% = any :r operator,recording,n/a,set new :r settings in the middle of a recording,no,no,Normally a recording has its parameters set from the first :r message and remains static until the end. You can change the settings mid cycle using an ‘:r -interrupt’ message.,Use this if you want to change a recording before it reaches the end of its cycle.,Start the recording using the ‘:r’ button and interrupt it using ‘:r -interrupt -lock 0’. You can confirm that the -lock setting mas changed.,:r,:r -interrupt -lock 0,:X 9 :d 4 :v 0
:r,-stop,,,,recording,n/a,halt a recording,no,no,You can stop a recording during its cycle using ‘:r -stop’,Use this to cancel a recording.,Stat the recording using the ‘:r’ button and stop it using the ‘:r -stop’ button.,:r,:r -stop,:X 9 :d 4 :v 0
:s,,start,,,operation,n/a,start a context cycle,no,double click on canvas area,Cable and float connections are equivalent to the :s message.,Use this to start a context automatically.,,:s,start,:x 1 2 :d 1 :v 0 :pr 2
:s,,start,%,% = float or symbol,operation,n/a,start a context cycle,no,no,Arguments do not affect a start message‚ but can be useful in conjunction with the rules list.,See helpfiles → 14_rules.pd,Here‚ 'start' will be allowed but 'start 2' will not. This is defined by a rule (go to properties → other → rules).,start,start 2,:v 0 :d 2 :x = 4 3 2 1 :I 1 :ex ' 1 :s equals 2 || c- '
:s,d,start,%,% = float = time index (ms),operation,n/a,start a context cycle after a delay,no,no,This will start the Context cycle after a given delay‚ as specified by the argument (in milliseconds). It should be compatible with other :s arguments‚ but it must be the first one.,Use this to start a context after a delay.,Look at the delay between sending the message and Context responding,:s d 1000,:s d 1000 p 3,:v 0 :d 2 :x 1 2 3 4
:s,p,start,%,% = float = toggle number,operation,n/a,start a context at a particular toggle point along the pattern axis,no,no,The float corresponds to the position of the toggles along the pattern axis.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,Look at the position on the x-axis floats to see where it starts.,:s p 3,:s p 8,:: long :d 4 :x 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :v 0 :pr 2
:s,p,start,% %,% = float = toggle number,operation,n/a,start a context‚ and schedule its stopping‚ at a particular point,no,no,Floats correspond to positions of the toggles along the pattern axis. If the first float is bigger than the first then the context will play in reverse.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,Look at the position on the x-axis floats to see where it starts and stops,:s p 3 6,:s p 15 10,:: long :d 4 :x 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :v 0 :pr 2
:s,s,start,%,% = float = time index (ms),operation,n/a,start a context at a particular time index along the timeline,no,no,The float corresponds to a particular time index (in milliseconds) along the timeline. If the context cycle time is altered‚ the time index will change correspondingly.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,Change the time cyce (top left atom) to understand s operator.,:s s 1000,:s s 2400,:: long :d 4 :x 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :v 0 :pr 2
